	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Ammi	216	29	95	15	7
1	Nahum	121	15	48	7	6
2	Merwin	18	3	7	1	0
3	Zenas	15	0	3	2	0
4	Thaddeus	14	2	6	0	1
5	the Gardners	4	0	3	2	0
6	Mrs. Gardner	4	1	2	0	1
7	Mrs. Pierce	3	0	2	0	1
8	God	3	0	1	0	0
9	Hero	3	0	0	1	0
10	Speakers	2	0	1	0	1
11	Stephen Rice	2	0	2	1	0
12	Nabby	2	0	0	0	0
13	Mernie	2	0	0	0	0
14	Numbers	2	0	2	0	0
