	Work	No. sentEvent	No. sentences	Percentage
0	burning_chrome	212	553	38.34%
1	hinterlands	179	472	37.92%
2	johnny_mnemonic	139	313	44.41%
3	neuromancer	3682	7478	49.24%
4	new_rose_hotel	168	386	43.52%
5	gibson	4380	9202	47.60%
