	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Hiro	72	9	32	6	5
1	Olga	64	19	22	9	0
2	Charmian	47	9	26	4	2
3	Toby	28	6	7	2	0
4	Kurtz	23	7	16	1	1
5	Leni	22	8	6	1	2
6	Olga Tovyevski	18	5	10	1	1
7	Grosz	11	3	2	3	0
8	the Russians	9	0	5	2	1
9	Taylor	7	2	1	0	0
10	Hillary	7	0	4	0	1
11	Mr. Halpert	7	1	4	1	0
12	Jorge	5	0	0	0	0
13	Tsiolkovsky	4	1	0	0	0
14	Heaven	4	2	1	0	0
15	Nevsky	3	0	1	1	0
16	Dr. Nagashima	2	0	1	0	0
17	Earth	2	1	0	1	0
18	Birds	2	0	2	0	0
