	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Akeley	276	68	79	30	13
1	Mr. Wilmarth	54	6	18	11	0
2	Akeley	49	14	24	5	3
3	Akeley	40	14	15	3	5
4	Noyes	38	5	18	4	1
5	Akeley	16	6	3	2	1
6	Mr. Akeley	15	5	8	1	2
7	Brown	14	3	2	3	0
8	Wilmarth	5	0	0	1	0
9	Yuggoth	4	0	0	2	0
10	Cthulhu	3	0	2	0	0
11	the Outer Ones	3	1	1	0	0
12	Davenport	2	0	1	0	0
13	Milton	2	0	0	0	0
14	Azathoth	2	0	0	0	0
15	Nyarlathotep	2	0	2	0	0
16	God	2	0	0	0	0
17	Astronomers	2	0	1	0	0
