	Work	No. sentEvent	No. sentences	Percentage
0	do_androids_dream_of_electric_sheep	2790	5448	51.21%
1	electric_ant	344	616	55.84%
2	faith_of_our_fathers	500	980	51.02%
3	impostor	314	689	45.57%
4	minority_report	633	1407	44.99%
5	dick	4581	9140	50.12%
