	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Fox	101	14	31	10	10
1	Hiroshi	58	7	19	12	4
2	Sandii	33	7	9	6	0
3	Hosaka	28	8	14	1	0
4	Maas	4	0	1	0	1
5	Smart Fox	4	2	1	0	0
6	Moenner	3	0	1	0	0
7	Chedanne	2	0	1	1	0
