	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Anderton	615	71	211	62	18
1	Witwer	281	25	111	23	3
2	Kaplan	162	28	84	10	4
3	Lisa	144	19	64	11	6
4	Fleming	65	14	32	7	0
5	Page	37	4	19	3	0
6	Witwer	32	2	21	1	1
7	Anderton	15	3	11	0	0
8	Darling	12	0	7	1	0
9	Donna	11	1	4	0	2
10	Jerry	10	3	3	1	2
11	Mike	8	0	3	1	3
12	Precrime	2	0	1	0	0
13	God	2	0	0	0	0
14	Ernest Temple	2	0	0	0	0
