	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Chien	516	77	155	43	9
1	Tanya	119	17	47	13	7
2	Pethel	66	6	28	6	1
3	Okubara	48	8	23	7	0
4	Tso - pin	37	11	19	1	0
5	Tso - pin	29	5	13	2	1
6	Miss Lee	29	6	9	5	1
7	Mou Kuei	13	5	9	0	0
8	God	12	0	1	0	3
9	Dryden	3	0	1	1	0
10	Mrs. Fletcher	3	0	1	0	0
11	Pausing	3	0	2	0	0
12	the People	2	0	0	0	0
13	Mikoyan	2	0	0	0	1
14	Miss Culper	2	1	0	0	0
15	the Clanker	2	0	0	0	0
16	the Higher Secpol Inspector Judd Craine	2	0	0	0	0
