	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Olham	395	39	128	30	10
1	Peters	105	7	43	3	2
2	Nelson	103	12	43	11	7
3	Mary	20	1	8	3	2
4	Dr Chamberlain	11	0	4	3	3
5	the Outspacers	3	0	0	1	0
