	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Molly	82	21	39	5	2
1	Jones	25	5	12	0	0
2	Dog	19	5	10	1	0
3	Ralfi	14	7	4	1	0
4	Lo Teks	8	1	2	1	0
5	Squid'll	5	1	5	0	0
6	Johnny	4	1	0	1	0
7	Mom	3	2	1	0	0
8	Eddie Bax	3	0	2	0	0
9	Chiba	2	0	0	0	0
10	Christian White	2	1	0	0	0
11	Lo Tek	2	0	1	0	0
12	The Loos	2	0	3	0	0
