	Characters	occourencesCount	possCount	agentCount	patientCount	modCount
0	Poole	538	57	144	37	18
1	Sarah	118	11	47	12	4
2	Danceman	44	3	19	8	0
3	Danceman	13	1	7	2	0
4	God	4	1	1	1	0
5	Marvis Bey	2	1	0	0	0
