	supersense_category	text
262	verb.communication	question
264	noun.attribute	minuteness
265	noun.attribute	relief
267	verb.communication	blame
268	noun.state	oldage
270	noun.cognition	slowness
276	noun.communication	promise
279	noun.cognition	lore
280	verb.competition	besiege
281	noun.attribute	fruit
282	noun.communication	interview
284	verb.communication	record
285	verb.cognition	relate
286	noun.cognition	imagery
287	noun.event	vista
288	noun.feeling	intelligence
289	noun.communication	gibberish
290	noun.event	sound
292	noun.person	cthulhu
293	noun.time	March
296	noun.location	WatermanStreet
297	verb.body	cryout
298	verb.emotion	arouse
300	noun.attribute	alternation
301	noun.attribute	unconsciousness
302	noun.state	delirium
304	verb.communication	telephone
305	noun.act	watch
306	noun.location	ThayerStreet
307	noun.person	Dr.Tobey
308	verb.cognition	dwell
309	noun.communication	repetition
310	verb.communication	touch
313	noun.person	monstrosity
314	verb.cognition	seek
315	verb.creation	depict
317	noun.event	prelude
318	noun.event	subsidence
319	noun.attribute	temperature
320	verb.communication	suggest
321	noun.state	mentaldisorder
322	noun.time	April
323	noun.time	p.m.
325	verb.emotion	astonish
329	noun.act	assistance
330	noun.cognition	trace
331	noun.cognition	dream
334	noun.cognition	vision
335	noun.cognition	part
338	noun.cognition	scepticism
339	verb.stative	form
340	verb.communication	accountfor
341	noun.feeling	distrust
342	verb.stative	cover
344	noun.act	visitation
346	verb.social	institute
347	noun.cognition	inquiry
348	noun.communication	impertinence
349	noun.time	date
350	noun.event	vision
351	noun.communication	correspondence
352	verb.possession	preserve
353	noun.communication	digest
355	noun.event	case
360	noun.person	case
363	noun.location	landscape
364	noun.person	poet
365	verb.change	breakloose
366	noun.person	compiler
367	verb.creation	edit
369	noun.communication	corroboration
370	verb.communication	resolve
371	verb.change	continue
373	verb.cognition	cognisant
375	verb.possession	possess
376	verb.communication	impose
377	noun.person	scientist
379	noun.time	February
380	noun.time	28th
382	noun.relation	proportion
385	noun.relation	fourth
386	verb.communication	report
388	noun.cognition	sound
390	noun.person	dreamer
391	verb.communication	confess
392	verb.communication	describe
393	noun.attribute	emphasis
394	noun.person	architect
395	noun.communication	leaning
396	noun.cognition	theosophy
397	noun.cognition	occultism
399	noun.person	youngWilcox
400	noun.state	seizure
401	verb.stative	expire
402	noun.act	screaming
403	verb.possession	save
404	noun.person	denizen
406	noun.communication	case
409	noun.cognition	investigation
411	verb.cognition	tracedown
412	verb.cognition	bearout
414	noun.communication	question
415	noun.substance	fraction
417	verb.communication	intimate
418	verb.communication	touchon
419	noun.Tops	case
423	verb.social	employ
424	noun.communication	extract
425	noun.location	source
426	noun.person	sleeper
427	noun.person	editor
428	noun.location	SouthAmerica
429	noun.person	fanatic
430	verb.cognition	deduce
432	noun.communication	despatch
435	verb.body	don
436	noun.body	robe
437	noun.food	fulfilment
438	verb.motion	arrive
439	noun.artifact	item
440	noun.state	unrest
442	noun.person	voodoo
443	noun.artifact	orgy
444	verb.change	multiply
445	noun.location	Hayti
446	noun.artifact	outpost
447	noun.communication	muttering
448	noun.location	philippine
449	noun.location	tribe
450	verb.social	mob
451	noun.person	levantine
453	noun.location	west
454	noun.location	Ireland
455	noun.communication	rumour
456	noun.communication	legendry
457	noun.person	painter
458	noun.person	ardois
459	noun.person	Bonnot
460	noun.location	DreamLandscape
461	noun.artifact	salon
462	noun.state	trouble
463	noun.artifact	insaneasylum
464	noun.state	miracle
465	noun.group	fraternity
466	verb.perception	note
467	noun.communication	parallelism
468	verb.cognition	draw
469	noun.cognition	conclusion
470	noun.artifact	cutting
472	verb.communication	envisage
473	noun.cognition	rationalism
476	noun.communication	tale
477	noun.person	InspectorLegrasse
478	noun.cognition	matter
485	noun.attribute	outline
487	noun.communication	hieroglyphic
488	verb.communication	render
490	noun.communication	connexion
491	noun.state	wonder
493	noun.communication	query
494	noun.group	AmericanArchaeologicalSociety
495	verb.creation	hold
496	noun.group	meeting
497	noun.location	St.Louis
499	verb.communication	befit
500	noun.communication	attainment
501	noun.communication	deliberation
502	verb.communication	approach
503	noun.person	outsider
504	noun.group	convocation
505	noun.communication	answer
506	noun.communication	problem
507	noun.communication	solution
510	verb.motion	travel
512	noun.person	JohnRaymondLegrasse
513	noun.person	inspector
514	noun.artifact	statuette
515	verb.cognition	fancy
518	noun.feeling	enlightenment
519	verb.creation	prompt
521	noun.artifact	idol
522	noun.feeling	fetish
523	verb.contact	capture
524	noun.object	swamp
526	noun.act	raid
528	noun.act	rite
529	verb.cognition	stumble
530	noun.act	voodoo
532	verb.possession	extort
535	noun.communication	offer
536	noun.communication	sight
537	verb.motion	crowd
538	verb.perception	gaze
539	noun.attribute	strangeness
540	noun.state	air
541	noun.state	antiquity
